en_phrase	fr_phrase	combo	coverage	fluency
and in	en donne	0.540	1.00	0.798
if you	et roue	0.459	1.00	0.537
me to	but où	0.645	1.00	0.672
of that	as hâte	0.461	1.00	0.495
to him	terme	0.604	0.80	0.566
at last	et liste	0.596	1.00	0.634
over the	aux me	0.561	0.80	0.675
the whole	local	0.458	0.83	0.455
said he	saint qui	0.622	1.00	0.642
would have	on caves	0.486	0.83	0.592
as if	aux if	0.543	1.00	0.639
him to	en tout	0.605	0.80	0.767
must be	met but	0.480	0.83	0.694
my dear	major	0.647	0.83	0.591
of their	as air	0.564	1.00	0.798
when the	un de	0.531	0.80	0.871
his own	les aune	0.565	0.83	0.407
will be	libye	0.562	0.80	0.315
has been	les mine	0.533	1.00	0.629
at all	europe	0.474	1.00	0.476
and his	en dise	0.552	0.83	0.767
and he	en dit	0.573	0.80	0.798
do you	durée	0.474	1.00	0.507
it and	errante	0.461	0.80	0.024
me and	merde	0.527	0.80	0.574
but it	but if	0.501	1.00	0.921
should be	chauds but	0.487	1.00	0.553
through the	trous a	0.513	1.00	0.639
and as	en dise	0.552	1.00	0.767
so that	sceaux as	0.594	0.83	0.538
which he	laid j	0.520	0.83	0.535
more than	maures n	0.744	1.00	0.378
the room	groupe	0.450	0.80	0.637
part of	parent if	0.455	1.00	0.530
may be	midi	0.630	0.80	0.524
and so	in saut	0.462	0.83	0.617
as it	aux êtes	0.540	1.00	0.453
in that	on jette	0.508	1.00	0.767
of them	as aimes	0.564	1.00	0.635
in which	on ouest	0.462	1.00	0.670
it would	est laide	0.510	1.00	0.767
not to	dit tout	0.582	1.00	0.798
the door	d or	0.496	1.00	0.855
not be	nid but	0.475	1.00	0.556
of your	effort	0.522	0.80	0.518
sort of	sort as	0.658	1.00	0.691
would not	laid notes	0.589	1.00	0.487
chapter the	tchad de	0.621	1.00	0.525
the pequod	repêchage	0.485	0.88	0.217
had not	et notes	0.507	0.83	0.620
from his	promise	0.525	0.86	0.602
mr collins	but calmes	0.460	0.89	0.534
he has	crise	0.466	0.80	0.501
to make	typique	0.571	0.83	0.332
mrs bennet	mais ben êtes	0.647	0.80	0.361
to you	tenu	0.588	1.00	0.474
seemed to	sommes tous	0.558	1.00	0.830
my own	marianne	0.631	1.00	0.284
so much	son aphtes	0.452	0.86	0.286
when he	un qui	0.519	0.80	0.767
to do	tout où	0.648	1.00	0.536
and to	en tout	0.647	0.80	0.767
she could	liquide	0.560	1.00	0.405
be the	bitter	0.626	1.00	0.500
of him	aux aimes	0.525	0.80	0.451
will not	un hôte	0.481	0.83	0.508
the white	relate	0.497	0.83	0.476
the time	d âme	0.502	0.83	0.767
the house	vacances	0.459	0.83	0.507
to say	t et	0.528	0.80	0.662
might be	mat but	0.669	0.83	0.492
and she	en j	0.535	0.80	0.767
they are	dehors	0.479	0.80	0.516
with him	les hommes	0.481	0.83	0.887
was to	vais tout	0.603	1.00	0.767
the very	reverrai	0.655	1.00	0.233
and with	en douai	0.497	0.83	0.422
and when	en donne	0.523	0.83	0.798
he would	guilde	0.497	0.80	0.237
my father	mat as	0.587	0.83	0.495
if he	et qui	0.477	1.00	0.927
at least	et liste	0.770	1.00	0.634
and all	en donne	0.540	1.00	0.798
the great	regrette	0.642	0.86	0.399
among the	main de	0.500	0.83	0.767
it to	et tout	0.650	1.00	0.817
this is	d aise	0.498	1.00	0.491
the last	relate	0.566	0.83	0.476
on his	on use	0.531	0.80	0.699
the matter	son are	0.482	1.00	0.744
was in	vous n	0.480	1.00	0.898
you must	on oust	0.532	0.83	0.430
and was	en dise	0.523	0.83	0.767
with her	ouais est	0.531	0.80	0.389
must have	mais savent	0.591	0.86	0.508
the boat	remonte	0.470	0.83	0.390
which the	laid je	0.477	0.83	0.580
and her	un de	0.452	0.80	0.871
you may	fumer	0.472	0.80	0.367
all this	ils s	0.467	1.00	0.867
the sperm	des femmes	0.470	1.00	0.830
all that	ils êtes	0.488	1.00	0.493
for it	forte	0.837	0.80	0.516
towards the	dehors de	0.604	0.78	0.657
in their	on chairs	0.610	1.00	0.767
him in	on n	0.511	0.80	0.893
what is	et onze	0.474	0.80	0.767
who had	quid	0.499	0.80	0.316
and my	in ma	0.462	0.83	0.735
old man	ils man	0.500	0.86	0.680
lady catherine	les écot in	0.497	0.82	0.595
about the	about de	0.648	0.86	0.766
that in	d une	0.486	1.00	0.937
as she	aux j	0.497	1.00	0.538
and it	en dites	0.566	1.00	0.767
the two	sont où	0.626	1.00	0.496
there are	erreur	0.564	0.80	0.507
but he	but et	0.519	0.80	0.805
me that	mis à	0.590	0.80	0.840
his head	les aides	0.569	0.83	0.532
of those	as oses	0.465	0.83	0.515
not the	tant de	0.496	1.00	0.876
in some	ils aiment	0.511	1.00	0.767
of an	aux n	0.460	1.00	0.565
mr bingley	met bain glass	0.520	0.90	0.485
they had	décide	0.499	0.83	0.441
she is	chiites	0.518	1.00	0.175
in all	on elle	0.511	1.00	0.712
you would	ovide	0.478	0.80	0.170
and yet	en tête	0.617	0.83	0.767
of these	as use	0.453	1.00	0.701
we have	élèves	0.457	0.80	0.495
to it	poète	0.533	1.00	0.392
you know	ion au	0.555	0.80	0.387
which was	laid chose	0.495	0.86	0.466
and there	en chair	0.593	0.83	0.601
we are	voire	0.493	1.00	0.476
before the	bords est	0.492	0.83	0.421
up and	aborde	0.464	1.00	0.233
as well	aux elle	0.613	0.80	0.530
to go	second	0.531	0.80	0.637
against the	écoles de	0.453	0.88	0.642
of its	office	0.511	0.80	0.509
think that	son quitte	0.455	0.86	0.550
to think	t hic	0.506	0.83	0.366
down the	don de	0.607	0.83	0.767
and if	en if	0.542	0.80	0.732
by his	balise	0.655	0.83	0.181
let me	laid mi	0.821	1.00	0.462
that we	d oui	0.612	1.00	0.557
of what	avoir	0.488	1.00	0.523
white whale	virtuelle	0.456	0.88	0.294
for her	forfait	0.679	1.00	0.367
was now	les na	0.508	0.83	0.418
for his	venise	0.499	0.83	0.476
no more	non or	0.617	0.83	0.594
as you	aux yeux	0.511	1.00	0.449
up to	aident où	0.629	1.00	0.363
his eyes	les as	0.482	0.83	0.767
the case	secret	0.475	0.83	0.598
after the	et de	0.475	0.80	0.964
but as	but as	0.512	1.00	0.963
he could	étude	0.478	0.80	0.545
enough to	un et tout	0.568	1.00	0.844
and what	en dites	0.523	0.83	0.767
the deck	laid êtes	0.482	1.00	0.451
in one	on n	0.516	0.80	0.893
than the	don de	0.508	1.00	0.767
the man	domaine	0.512	1.00	0.528
is to	aux tout	0.608	1.00	0.539
to this	taux s	0.581	1.00	0.653
is it	aux êtes	0.526	1.00	0.453
like the	lacs a	0.607	0.83	0.609
you to	but où	0.596	1.00	0.672
which had	laid chaude	0.501	0.86	0.411
it had	est aides	0.543	0.80	0.504
the day	d a	0.465	0.80	0.846
the next	son x	0.497	0.86	0.536
it may	et mes	0.528	0.80	0.798
it in	graines	0.496	1.00	0.330
of course	aux course	0.553	1.00	0.523
to know	tenu	0.728	0.80	0.474
have no	avenir	0.491	0.83	0.516
soon as	son aise	0.595	1.00	0.767
all his	office	0.480	0.80	0.509
the captain	occupent il	0.453	0.88	0.425
and at	en dites	0.552	1.00	0.767
with me	les mi	0.573	1.00	0.571
at his	et onze	0.495	0.80	0.767
come to	con tout	0.719	1.00	0.524
man who	main a	0.517	0.80	0.711
in it	un in	0.496	1.00	0.813
that his	d use	0.486	0.83	0.635
able to	effort où	0.535	0.86	0.482
and now	n na	0.522	0.83	0.767
could be	goût dit	0.502	1.00	0.767
of our	envahi	0.518	1.00	0.258
of some	aux dames	0.480	1.00	0.767
that there	des air	0.576	0.83	0.628
and though	n de	0.474	0.83	0.738
the morning	demain in	0.481	0.88	0.591
for ever	force	0.646	0.80	0.512
and by	in bah	0.462	0.83	0.648
you can	organes	0.470	1.00	0.348
her sister	consiste	0.585	1.00	0.428
does not	des notes	0.583	1.00	0.798
if it	est êtes	0.550	1.00	0.532
mr bennet	mais ben êtes	0.672	0.89	0.361
my friend	met restent	0.509	0.88	0.470
me the	mis à	0.612	1.00	0.840
at once	et lace	0.483	0.83	0.491
the rest	modeste	0.612	1.00	0.348
is that	s êtes	0.479	1.00	0.614
the sun	d n	0.495	1.00	0.683
that of	d ève	0.506	1.00	0.443
think of	son gave	0.495	1.00	0.644
began to	bien tout	0.644	0.86	0.798
that this	des s	0.462	0.83	0.744
not have	d gave	0.458	1.00	0.667
her to	fait où	0.611	1.00	0.498
with an	les n	0.459	1.00	0.672
as much	aux matchs	0.578	1.00	0.462
from my	frein me	0.586	0.86	0.558
me in	viennent	0.501	1.00	0.505
the more	son or	0.484	1.00	0.817
say that	ces as	0.594	0.83	0.691
and of	en love	0.516	1.00	0.647
her own	baronne	0.472	0.83	0.388
know that	nos as	0.594	0.83	0.635
down to	don t	0.500	0.83	0.959
he said	et aides	0.643	0.80	0.556
the water	dehors	0.625	0.80	0.516
them and	demandent	0.535	0.83	0.399
when she	un si	0.531	0.80	0.798
such an	saint chaîne	0.592	1.00	0.532
miss bingley	mais bain glass	0.535	1.00	0.502
his face	les fesses	0.452	0.86	0.767
in an	on n	0.537	1.00	0.893
round the	rendent de	0.618	0.86	0.599
that was	d rose	0.464	1.00	0.648
and we	en dit	0.552	0.80	0.798
as we	aux oui	0.623	1.00	0.440
you and	yourte	0.538	0.80	0.000
we shall	michel	0.560	1.00	0.512
me with	merde	0.465	0.80	0.574
the present	après est	0.572	0.89	0.569
it will	est il	0.536	0.80	0.848
the only	lyon lie	0.585	0.86	0.415
there were	servant	0.486	1.00	0.606
the air	dehors	0.522	1.00	0.516
came to	con tout	0.685	0.83	0.524
in him	un homme	0.507	0.80	0.887
moby dick	moment hic	0.617	0.88	0.423
for my	format	0.885	0.83	0.424
not know	man au	0.514	0.83	0.689
of mr	aux liste	0.510	1.00	0.504
any other	on yen	0.484	1.00	0.542
with all	les elle	0.492	1.00	0.637
was no	les nos	0.508	0.83	0.558
am sure	un jour	0.504	1.00	0.861
the night	son out	0.554	1.00	0.695
no doubt	nos out	0.657	0.86	0.559
some of	son s	0.481	1.00	0.895
be in	viennent	0.530	1.00	0.505
to give	secondes	0.458	1.00	0.482
shall be	chimie	0.544	0.80	0.369
and not	n date	0.583	1.00	0.487
not so	nantes a	0.529	0.83	0.678
them to	son tout	0.593	1.00	0.633
side of	cent as	0.500	0.83	0.652
but she	but chie	0.786	1.00	0.510
but that	but dette	0.563	1.00	0.620
should have	choux as	0.494	0.83	0.535
that my	dit ma	0.502	0.83	0.767
for me	former	0.821	1.00	0.505
is no	n au	0.530	0.80	0.614
it were	est ouah	0.555	1.00	0.432
she would	chili	0.588	0.80	0.317
but in	but n	0.607	1.00	0.747
is very	aux verra	0.548	1.00	0.445
said she	et j	0.507	0.80	0.848
you see	yeux au	0.496	1.00	0.798
and you	en tout	0.540	0.80	0.767
the best	déteste	0.640	1.00	0.430
as soon	et une	0.499	0.80	0.861
was very	les verrez	0.571	1.00	0.767
to that	taux a	0.498	0.80	0.727
at first	est faite	0.497	0.83	0.817
or the	hors a	0.641	1.00	0.634
to get	second	0.508	0.80	0.637
between the	bien de	0.560	0.86	0.840
not only	d un lie	0.554	0.88	0.745
up in	automne	0.503	1.00	0.420
what he	et qui	0.490	0.80	0.927
are not	en hâte	0.551	0.80	0.767
young man	on mine	0.504	0.83	0.798
he did	et aides	0.527	0.80	0.556
at length	et legs	0.466	0.83	0.593
for some	fort home	0.760	1.00	0.493
under the	n de	0.605	1.00	0.738
to speak	tous pique	0.817	1.00	0.420
my heart	pancarte	0.554	0.86	0.198
some time	son dame	0.588	0.86	0.539
was so	les saut	0.508	0.83	0.507
did you	des yeux	0.500	1.00	0.817
upon his	hypothèse	0.477	0.86	0.399
were the	oiseaux	0.511	1.00	0.270
if the	et de	0.482	1.00	0.964
but to	but tout	0.786	1.00	0.720
it as	heureuse	0.526	1.00	0.170
it has	est as	0.452	0.80	0.756
of such	as h	0.473	0.83	0.633
this was	des vases	0.483	1.00	0.798
which she	laid j	0.463	0.83	0.535
the head	tiède	0.586	0.80	0.200
we had	viande	0.509	0.80	0.424
who was	croise	0.470	1.00	0.325
to their	taux air	0.702	1.00	0.537
tell me	tellement	0.780	1.00	0.574
but you	but où	0.601	0.80	0.672
on my	on ma	0.600	0.80	0.699
and they	n de	0.474	0.83	0.738
when you	un goût	0.507	0.80	0.767
it but	est faite	0.494	1.00	0.817
the subject	les hommes secte	0.547	1.00	0.661
on her	on se	0.455	1.00	0.848
had the	et de	0.515	0.80	0.964
in your	un air	0.507	0.80	0.817
for him	volume	0.479	0.83	0.442
in its	un s	0.530	0.80	0.757
no one	nouvel	0.482	0.83	0.489
to find	t hard	0.537	0.86	0.480
which is	et chaise	0.498	0.83	0.561
when they	vain d	0.456	0.83	0.601
during the	terrain de	0.487	0.88	0.660
in such	on patch	0.570	1.00	0.542
him but	un but	0.489	0.83	0.778
of being	aux bic	0.451	0.83	0.302
him as	chemise	0.491	1.00	0.346
are you	aria	0.533	1.00	0.416
and this	en dix	0.511	0.83	0.767
that had	d aides	0.495	0.83	0.543
where the	verres a	0.516	1.00	0.630
mr holmes	mais table	0.471	0.78	0.584
out the	et de	0.498	0.80	0.964
to all	noël	0.511	1.00	0.480
to take	t s	0.531	0.83	0.692
and more	en meurent	0.520	0.83	0.767
be so	but a	0.506	0.80	0.965
with you	les où	0.490	0.80	0.597
for you	sérieux	0.487	1.00	0.522
much as	met chose	0.573	1.00	0.487
to your	dehors	0.534	0.80	0.516
the three	d dit	0.464	1.00	0.691
while the	watts est	0.571	0.83	0.406
said the	sais de	0.802	1.00	0.597
well as	venise	0.492	1.00	0.476
to them	des hommes	0.500	1.00	0.861
is in	aux n	0.482	1.00	0.565
at that	et cette	0.495	1.00	0.798
let us	laid as	0.726	1.00	0.675
that if	d if	0.511	1.00	0.942
he might	limite	0.553	0.83	0.497
look at	locaux	0.498	0.80	0.464
too much	tunis	0.474	0.83	0.359
elizabeth was	les avaient as	0.466	0.90	0.818
with their	s air	0.546	0.83	0.767
mr wickham	mais liquide	0.452	0.89	0.473
it seemed	s hymne	0.596	1.00	0.530
the right	pirates	0.565	0.83	0.388
end of	n osent	0.603	1.00	0.767
him the	un de	0.511	0.80	0.871
as for	aux for	0.693	1.00	0.680
with such	les sèches	0.459	0.86	0.455
miss bennet	mais ben s	0.626	1.00	0.495
can be	con but	0.499	1.00	0.660
sight of	cent as	0.488	0.83	0.652
but there	but terre	0.645	1.00	0.663
again and	rien n	0.454	0.86	0.848
not been	d mine	0.476	1.00	0.639
but when	but n	0.664	0.83	0.747
full of	slave	0.528	0.80	0.503
once more	lignes maures	0.619	1.00	0.283
and for	en for	0.706	0.83	0.773
should not	son nantes	0.496	1.00	0.537
he must	limite	0.552	0.83	0.497
have you	avion	0.519	0.80	0.497
they have	dérive	0.491	0.83	0.311
he should	étude	0.484	0.80	0.545
from her	frappée	0.584	0.83	0.260
to come	lequel	0.455	1.00	0.410
the long	bloc	0.474	0.80	0.420
upon my	otan ma	0.527	0.86	0.408
wish to	vivent où	0.583	1.00	0.434
all these	ils use	0.492	1.00	0.557
on this	on six	0.545	1.00	0.726
at this	as s	0.498	1.00	0.838
the wind	david	0.467	0.83	0.233
with it	vous êtes	0.480	1.00	0.871
by no	bien au	0.573	0.83	0.767
for all	parole	0.690	1.00	0.379
could have	con as	0.499	0.83	0.663
see that	ces a	0.509	0.80	0.742
was that	les jette	0.474	1.00	0.767
now and	narines	0.567	0.83	0.175
he will	civils	0.520	1.00	0.380
head and	et hard	0.484	0.83	0.573
the little	générale	0.474	1.00	0.533
but if	but if	0.609	1.00	0.921
or two	eurent où	0.740	1.00	0.358
am not	en notes	0.516	1.00	0.583
idea of	hardiesse	0.453	0.86	0.233
with my	les ma	0.475	0.83	0.625
of us	aux as	0.533	1.00	0.678
going to	craignent où	0.527	0.86	0.340
it must	et must	0.545	1.00	0.730
him that	un date	0.499	0.83	0.519
which you	et sioux	0.571	0.83	0.407
away from	avait rome	0.473	0.88	0.571
saw the	ces a	0.497	1.00	0.742
point of	pain savent	0.593	0.86	0.436
the fire	sofa	0.517	0.80	0.396
him he	commit	0.507	0.80	0.432
the end	viennent	0.488	0.80	0.505
have not	aux notes	0.458	0.83	0.798
see the	ces a	0.526	1.00	0.742
for that	forte	0.709	0.83	0.516
of life	aux light	0.498	1.00	0.555
instead of	on sait ève	0.565	0.88	0.550
and on	en donne	0.758	1.00	0.798
was at	vous êtes	0.504	1.00	0.871
it not	et notes	0.503	1.00	0.620
time to	tapent où	0.772	0.83	0.315
my eyes	malaise	0.644	0.83	0.327
an old	un autre	0.460	0.83	0.887
captain ahab	coupent idéal	0.500	0.82	0.258
seem to	son tout	0.695	1.00	0.633
very much	terrain h	0.523	0.88	0.443
his wife	les watts	0.538	0.86	0.434
of any	afin et	0.464	1.00	0.652
the line	relate	0.559	0.83	0.476
as in	aux une	0.511	1.00	0.564
were to	veut où	0.630	1.00	0.402
it all	idole	0.645	1.00	0.170
an hour	un are	0.501	1.00	0.754
were not	en hâte	0.531	0.80	0.767
by her	baron	0.603	0.80	0.632
the country	second ri	0.559	0.88	0.432
is this	ils s	0.490	1.00	0.867
heard of	on ève	0.516	0.80	0.507
me as	noise	0.474	1.00	0.570
on board	on merde	0.604	1.00	0.695
of one	avoir	0.512	1.00	0.523
the greatest	secouristes	0.518	0.80	0.089
thought of	tout ève	0.509	1.00	0.371
the window	david au	0.468	0.88	0.391
the name	son âme	0.494	0.83	0.798
the cabin	cinquantaine	0.460	1.00	0.170
no means	termine	0.520	0.86	0.407
but this	but six	0.565	1.00	0.726
know what	nouvel	0.470	0.83	0.489
to hear	dehors	0.531	0.80	0.516
you were	yoyo	0.481	1.00	0.076
was only	les on lie	0.595	0.88	0.628
what do	et nous	0.497	0.80	0.883
me but	minutes	0.649	1.00	0.618
the side	des hard	0.473	1.00	0.533
whale and	lézarde	0.471	0.86	0.000
man and	main un	0.519	0.83	0.798
who is	louise	0.481	1.00	0.476
said that	saint cette	0.661	1.00	0.576
an instant	in store	0.555	0.78	0.798
but his	but s	0.507	0.83	0.835
the family	d en lie	0.524	0.88	0.681
of you	avion	0.526	1.00	0.497
the table	d appel	0.470	0.88	0.614
along the	don de	0.483	0.83	0.767
and had	en lad	0.521	0.83	0.499
the one	divine	0.480	1.00	0.379
it for	est fort	0.727	1.00	0.798
you had	quid	0.476	0.80	0.316
room and	roumain et	0.646	1.00	0.464
is an	aux n	0.467	1.00	0.565
you think	ionique	0.503	0.83	0.087
nothing but	d un bit	0.456	1.00	0.747
no longer	neuronaux	0.480	0.86	0.000
mrs gardiner	mais gares in	0.468	0.82	0.567
account of	écart as	0.466	0.88	0.609
man of	madame	0.488	1.00	0.775
for an	frère	0.625	1.00	0.469
way to	veut où	0.642	0.80	0.402
in any	on aînés	0.607	1.00	0.525
with which	les lèche	0.464	0.86	0.439
and after	en dites	0.504	0.83	0.767
it the	et de	0.509	1.00	0.964
about it	about s	0.593	0.86	0.753
to tell	t elle	0.715	1.00	0.840
it that	et cette	0.474	1.00	0.798
to us	traces	0.618	1.00	0.437
may have	massive	0.586	0.83	0.316
tell you	télé	0.500	0.80	0.480
by some	pas homme	0.529	0.83	0.767
back to	but où	0.640	1.00	0.672
and mrs	en mais aise	0.511	0.88	0.492
what was	et vases	0.499	0.83	0.546
to look	bloc	0.498	0.80	0.420
that when	d n	0.581	0.83	0.683
it it	arrêtent	0.526	1.00	0.307
the stranger	des train d	0.462	0.90	0.563
had never	et rêve	0.576	0.83	0.603
go to	but où	0.578	0.80	0.672
but what	but watts	0.681	1.00	0.508
the ground	dégradé	0.519	0.88	0.237
it seems	s hymne	0.576	1.00	0.530
but not	but nantes	0.665	1.00	0.625
with them	ils aiment	0.568	0.83	0.767
to mr	tennis	0.496	0.83	0.378
so many	son un et	0.492	0.86	0.779
found that	fan set	0.618	0.88	0.413
spite of	sportive	0.614	1.00	0.348
kind of	cannes as	0.569	0.86	0.545
all my	allemagne	0.571	1.00	0.333
have seen	s il	0.461	0.83	0.898
the body	sympathie	0.497	1.00	0.288
any of	on if	0.458	0.80	0.798
to any	tenu	0.533	0.80	0.474
we must	limite	0.589	0.83	0.497
the latter	dollars	0.536	1.00	0.495
the place	replace	0.631	0.86	0.316
is all	aux elle	0.511	1.00	0.530
so far	saut are	0.700	0.83	0.557
far as	phrases	0.585	0.80	0.359
upon me	afin mis	0.580	1.00	0.473
knew that	nous et	0.612	0.80	0.830
seems to	sommes tous	0.554	1.00	0.830
she has	chemise	0.536	0.80	0.346
the letter	salaire	0.691	1.00	0.441
her husband	hais benêt	0.496	0.78	0.102
to one	tienne	0.592	0.80	0.334
from that	flammes et	0.474	0.86	0.767
you that	vous êtes	0.464	1.00	0.871
to which	twist	0.476	0.83	0.170
in our	un are	0.501	1.00	0.754
hand and	en tarde	0.513	0.86	0.441
and every	un des ri	0.549	1.00	0.660
the light	relate	0.671	0.83	0.476
after all	et sol	0.572	0.83	0.620
she did	chez elle	0.500	1.00	0.798
ought to	ont tout	0.678	1.00	0.767
that all	d elle	0.498	1.00	0.830
by this	bas s	0.673	0.83	0.553
see him	ciel	0.482	0.80	0.403
were in	lorraine	0.528	1.00	0.355
were all	viol	0.571	0.80	0.376
of me	aux mi	0.601	1.00	0.464
from him	fredonne	0.531	0.86	0.000
down in	don in	0.566	0.83	0.735
whale is	venise	0.487	0.83	0.476
if she	et j	0.497	1.00	0.848
is so	s au	0.530	0.80	0.702
not in	d une	0.468	1.00	0.937
just as	d thèse	0.554	0.86	0.545
your own	héroïne	0.487	0.83	0.313
upon it	pan êtes	0.540	0.83	0.344
few minutes	poumon s	0.541	0.78	0.509
and from	in femme	0.539	0.86	0.656
them in	domaine	0.512	1.00	0.528
out to	et tout	0.628	0.80	0.817
at my	et ma	0.543	0.80	0.830
there and	terrasse	0.462	0.83	0.336
it so	s au	0.543	0.80	0.702
mast head	mais cette	0.513	0.86	0.767
was an	vous n	0.468	1.00	0.898
to elizabeth	tels appel	0.480	0.89	0.472
entered the	n de	0.671	0.83	0.738
you do	yeux au	0.496	1.00	0.798
only to	on dit où	0.676	0.86	0.702
my life	malaxe	0.627	0.86	0.000
then the	un de	0.500	0.80	0.871
as possible	aux pas quel	0.457	1.00	0.662
at home	et tome	0.549	0.83	0.767
what you	est yeux	0.507	0.80	0.528
and down	n dan	0.663	0.86	0.484
over his	aux caisse	0.464	0.83	0.440
into his	un treize	0.499	0.86	0.490
side and	saint halte	0.472	0.86	0.424
and even	on divine	0.640	1.00	0.597
not at	d hôte	0.468	1.00	0.767
be sure	major	0.500	1.00	0.591
on that	on jette	0.543	1.00	0.767
that mr	d liste	0.530	1.00	0.621
as his	aux aise	0.531	0.80	0.374
saw him	formes	0.500	0.80	0.466
across the	écrits de	0.546	1.00	0.767
me for	met or	0.703	1.00	0.657
but at	but as	0.500	1.00	0.963
such as	saint chose	0.582	1.00	0.530
the lady	gelées a	0.564	0.86	0.539
we may	lima	0.536	0.80	0.233
it might	et mate	0.624	0.83	0.558
for he	forte	0.661	1.00	0.516
to our	trahi	0.488	1.00	0.269
with some	les femmes	0.458	1.00	0.848
in order	on or	0.597	0.80	0.820
in these	en dise	0.604	1.00	0.767
be of	brave	0.618	1.00	0.473
off the	et de	0.467	1.00	0.964
but one	but n	0.574	0.83	0.747
the crew	secret	0.571	1.00	0.598
his friend	des freine	0.601	0.88	0.404
what she	et j	0.509	0.80	0.848
but with	but vise	0.487	1.00	0.608
him for	on for	0.685	0.83	0.855
is as	aux aise	0.511	1.00	0.374
the least	police	0.561	0.83	0.561
to whom	terme	0.592	0.80	0.566
sir william	silicium	0.533	1.00	0.156
said elizabeth	sait les baisse	0.522	0.90	0.463
think it	son quitte	0.506	1.00	0.550
you not	en hâte	0.507	0.80	0.767
shall not	changement	0.455	0.83	0.510
as this	as s	0.491	1.00	0.838
time and	termine	0.466	0.86	0.407
in every	on ouvrit	0.625	1.00	0.492
it he	et qui	0.499	1.00	0.927
been the	bon de	0.622	1.00	0.798
on to	on tout	0.722	1.00	0.720
then he	jeudi	0.507	0.80	0.478
in front	un frère	0.485	0.86	0.767
